Position,Track Name,Artist,Streams,URL,album,date,explicit,features,acousticness,danceability,energy,key,loudness,speechiness,tempo,valence
29,Te Boté - Remix,Nio Garcia,12584964,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,Te Boté (Remix),2018,True,"Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",0.542,0.903,0.675,11,-3.445,0.214,96.507,0.442
30,The Ringer,Eminem,12569332,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE,Kamikaze,2018,True,None,0.0311,0.939,0.551,1,-9.126,0.291,118.552,0.42
31,Moonlight,XXXTENTACION,12540535,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,?,2018,True,None,0.556,0.921,0.537,9,-5.723,0.0804,128.009,0.711
32,Youngblood,5 Seconds of Summer,12534601,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,Youngblood (Deluxe),2018,False,None,0.0169,0.596,0.854,7,-5.114,0.463,120.274,0.152
33,Nonstop,Drake,12138094,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,Scorpion,2018,True,None,0.0164,0.912,0.412,7,-8.074,0.124,154.983,0.422
34,"Thunderclouds with Sia, Diplo & Labrinth",Sia,12055103,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi,"Thunderclouds with Sia, Diplo & Labrinth",2018,False,"Diplo, Labrinth, LSD",0.0085,0.691,0.716,7,-5.985,0.0351,112.035,0.507
35,Jackie Chan,Tiësto,11851093,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,Jackie Chan,2018,True,"Dzeko, Preme, Post Malone",0.374,0.747,0.834,3,-2.867,0.045,128.005,0.687
36,Beautiful (feat. Camila Cabello),Bazzi,11314402,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),2018,False,Camila Cabello,0.346,0.638,0.717,2,-4.722,0.0337,100.027,0.249
37,Shotgun,George Ezra,11231503,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,Staying at Tamara's,2018,False,None,0.286,0.672,0.735,5,-4.733,0.0457,115.741,0.754
38,One Kiss (with Dua Lipa),Calvin Harris,11207836,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),2018,False,Dua Lipa,0.037,0.791,0.862,9,-3.24,0.11,123.994,0.592
39,Fall,Eminem,10826181,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato,Kamikaze,2018,True,None,0.227,0.83,0.546,1,-5.716,0.295,182.973,0.535
40,No Es Justo,J Balvin,10724777,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,Vibras,2018,False,Zion & Lennox,0.161,0.684,0.811,7,-4.494,0.0714,87.866,0.721
41,Jocelyn Flores,XXXTENTACION,10418248,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,17,2017,True,None,0.469,0.872,0.391,0,-9.144,0.242,134.021,0.437
42,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,10332824,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24,7,2018,False,Anne-Marie,0.177,0.694,0.617,4,-7.838,0.0469,127.928,0.496
43,Sin Pijama,Becky G,10312740,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,Sin Pijama,2018,False,Natti Natasha,0.354,0.791,0.745,11,-3.695,0.0464,94.014,0.82
44,God's Plan,Drake,10298996,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,Scorpion,2018,True,None,0.0332,0.754,0.449,7,-9.211,0.109,77.169,0.357
45,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,9771636,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG,Goodbye (feat. Nicki Minaj & Willy William),2018,False,"David Guetta, Nicki Minaj, Willy William",0.0776,0.643,0.904,0,-3.694,0.0739,103.028,0.481
46,Happy Now,Zedd,9686698,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,Happy Now,2018,False,Elley Duhé,0.579,0.503,0.741,4,-5.128,0.047,88.335,0.458
47,no tears left to cry,Ariana Grande,9625411,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,Sweetener,2018,False,None,0.04,0.699,0.713,9,-5.507,0.0594,121.993,0.354
48,rockstar (feat. 21 Savage),Post Malone,9561080,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,beerbongs & bentleys,2018,True,21 Savage,0.117,0.587,0.535,5,-6.09,0.0898,159.847,0.14
49,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,9201968,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z,Whenever (feat. Conor Maynard),2018,False,"The Boy Next Door, Conor Maynard",0.151,0.734,0.765,7,-5.562,0.0621,109.989,0.518
50,Not Alike (feat. Royce Da 5'9),Eminem,9136276,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU,Kamikaze,2018,True,"Royce Da 5'9""",0.0692,0.904,0.756,10,-3.746,0.32,140.005,0.342
51,changes,XXXTENTACION,9056512,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,?,2018,False,None,0.883,0.669,0.308,11,-10.068,0.029,64.934,0.52
52,High Hopes,Panic! At The Disco,8854896,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,Pray For The Wicked,2018,False,None,0.193,0.579,0.904,5,-2.729,0.0618,82.014,0.681
