Position,Track Name,Artist,Streams,URL,album,date,explicit,features,acousticness,danceability,energy,key,loudness,speechiness,tempo,valence
127,Verleden Tijd,Frenna,5187029,https://open.spotify.com/track/4kuexchmxuc5NXmokfo1WH,Verleden Tijd,2018,True,Lil' Kleine,0.131,0.771,0.661,10,-6.718,0.0916,104.884,0.183
128,Stepping Stone,Eminem,5165472,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX,Kamikaze,2018,True,None,0.0305,0.616,0.684,7,-6.032,0.311,179.503,0.312
129,Pretty Little Fears (feat. J. Cole),6LACK,5158068,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp,East Atlanta Love Letter,2018,True,J. Cole,0.711,0.611,0.466,9,-11.361,0.372,192.08,0.223
130,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,5139627,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,Expectations,2018,False,Florida Georgia Line,0.0476,0.642,0.772,10,-6.61,0.0848,153.995,0.589
131,Unica,Ozuna,5091092,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A,Aura,2018,False,None,0.212,0.653,0.859,0,-3.048,0.0449,174.037,0.705
132,Hipócrita,Anuel Aa,5026781,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw,Real Hasta la Muerte,2018,False,Zion,0.303,0.79,0.858,2,-2.78,0.0471,92.05,0.79
133,Too Good At Goodbyes,Sam Smith,5013289,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,The Thrill Of It All (Special Edition),2017,False,None,0.652,0.698,0.375,5,-8.279,0.0491,91.92,0.534
134,Want To,Dua Lipa,5009169,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ,Want To,2018,False,None,0.0788,0.572,0.691,8,-4.783,0.123,92.082,0.318
135,Closer,The Chainsmokers,4980175,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Closer,2016,False,Halsey,0.414,0.748,0.524,8,-5.599,0.0338,95.01,0.661
136,BONNIE & CLYDE,Loredana,4975758,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic,BONNIE & CLYDE,2018,True,Mozzik,0.11,0.792,0.62,8,-4.832,0.266,169.985,0.637
137,Say You Won't Let Go,James Arthur,4950638,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,Back from the Edge,2016,False,None,0.695,0.358,0.557,10,-7.398,0.059,85.043,0.494
138,Burn Out (feat. Dewain Whitmore),Martin Garrix,4950269,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD,Burn Out (feat. Dewain Whitmore),2018,False,"Justin Mylo, Dewain Whitmore",0.0156,0.594,0.722,4,-5.751,0.0398,127.877,0.407
139,I'm Yours,Jason Mraz,4924665,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,We Sing. We Dance. We Steal Things.,2008,False,None,0.595,0.686,0.457,11,-8.322,0.0468,150.953,0.718
140,Mine,Bazzi,4905020,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR,COSMIC,2018,True,None,0.0161,0.71,0.789,4,-3.874,0.0722,142.929,0.717
141,Mariners Apartment Complex,Lana Del Rey,4899476,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn,Mariners Apartment Complex,2018,True,None,0.795,0.528,0.284,9,-11.487,0.0287,76.012,0.172
142,Happier,Ed Sheeran,4865358,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,÷ (Deluxe),2017,False,None,0.536,0.522,0.385,0,-7.355,0.0288,89.792,0.236
143,OTW,Khalid,4857378,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI,OTW,2018,True,"6LACK, Ty Dolla $ign",0.183,0.652,0.678,2,-6.183,0.0541,72.989,0.28
144,Medicina,Anitta,4841409,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju,Medicina,2018,False,None,0.0441,0.798,0.784,4,-3.545,0.0667,93.96,0.653
145,Leave Me Alone,Flipp Dinero,4839335,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,Leave Me Alone,2018,True,None,0.107,0.792,0.743,7,-2.806,0.0851,150.024,0.742
146,Taking A Walk,Trippie Redd,4833553,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2,LIFE'S A TRIP,2018,True,None,0.68,0.767,0.538,0,-6.044,0.052,81.031,0.343
147,Trip,Ella Mai,4808763,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa,Trip,2018,False,None,0.214,0.717,0.605,11,-5.68,0.075,81.047,0.387
148,the remedy for a broken heart (why am I so in love),XXXTENTACION,4799707,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7,?,2018,True,None,0.779,0.699,0.304,1,-11.192,0.0993,119.705,0.271
149,Mi Cama - Remix,Karol G,4785491,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE,Mi Cama (Remix),2018,False,"J Balvin, Nicky Jam",0.299,0.815,0.784,9,-4.423,0.0738,162.958,0.832
150,W O R K I N M E,Quavo,4747980,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64,W O R K I N M E,2018,True,None,0.182,0.79,0.629,8,-4.055,0.142,170.023,0.267
151,Me Dijeron,Ozuna,4689793,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh,Aura,2018,False,None,0.0273,0.8,0.841,5,-2.817,0.0524,94.021,0.798
152,Hope,XXXTENTACION,4676527,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,?,2018,True,None,0.661,0.592,0.457,9,-6.081,0.0603,146.04,0.225
153,Ric Flair Drip (& Metro Boomin),Offset,4674165,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,Without Warning,2017,True,Metro Boomin,0.149,0.88,0.428,9,-8.28,0.206,100.007,0.333
154,Good Guy (feat. Jessie Reyez),Eminem,4666916,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU,Kamikaze,2018,True,Jessie Reyez,0.244,0.696,0.634,9,-6.918,0.281,89.973,0.728
155,HUMBLE.,Kendrick Lamar,4649310,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,DAMN.,2017,True,None,0.000282,0.908,0.621,1,-6.638,0.102,150.011,0.421
156,Madura (feat. Bad Bunny),Cosculluela,4637596,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN,Madura (feat. Bad Bunny),2018,False,Bad Bunny,0.138,0.878,0.555,1,-7.639,0.202,88.029,0.751
157,Side Effects,The Chainsmokers,4619283,https://open.spotify.com/track/5hrXLJJrnKraxRQntH0Vv9,Sick Boy...This Feeling,2018,False,Emily Warren,0.00277,0.673,0.71,8,-6.744,0.0324,110.017,0.54
158,Africa,Toto,4615090,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,Toto IV,1982,False,None,0.257,0.671,0.373,9,-18.064,0.0323,92.717,0.732
159,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,4560533,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM,Rolling Papers 2,2018,True,Swae Lee,0.307,0.877,0.477,9,-7.379,0.0587,127.023,0.552
160,Dura - Remix,Daddy Yankee,4552750,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb,Dura (Remix),2018,False,"Becky G, Bad Bunny, Natti Natasha",0.188,0.772,0.803,1,-3.035,0.0468,94.981,0.853
161,Celoso,Lele Pons,4536903,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg,Celoso,2018,False,None,0.352,0.746,0.703,4,-4.179,0.107,166.043,0.667
162,In My Blood,Shawn Mendes,4519552,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH,Shawn Mendes,2018,False,None,0.0573,0.622,0.712,5,-7.321,0.066,140.025,0.487
163,Por Perro,Sebastian Yatra,4515465,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ,MANTRA,2018,False,"Luis Figueroa, Lary Over",0.429,0.684,0.762,0,-5.18,0.0501,172.009,0.892
164,Congratulations,Post Malone,4514139,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,Stoney (Deluxe),2016,True,Quavo,0.215,0.63,0.804,6,-4.183,0.0363,123.146,0.492
165,Call Out My Name,The Weeknd,4455221,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,"My Dear Melancholy,",2018,False,None,0.218,0.489,0.598,1,-4.929,0.036,134.045,0.172
166,Estamos Bien,Bad Bunny,4424032,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn,Estamos Bien,2018,True,None,0.831,0.793,0.557,9,-5.618,0.1,120.118,0.468
167,All I Am,Jess Glynne,4323512,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV,All I Am,2018,False,None,0.0445,0.74,0.669,0,-5.199,0.0373,122.007,0.536
168,Wonderwall - Remastered,Oasis,4301297,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,(What's The Story) Morning Glory? [Remastered],1995,False,None,0.000452,0.378,0.896,2,-4.066,0.0407,174.302,0.469
169,Culpables,Manuel Turizo,4299271,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn,Culpables,2018,False,None,0.94,0.573,0.31,3,-11.134,0.296,177.601,0.764
170,Culpables,Karol G,4270973,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,Culpables,2018,False,Anuel Aa,0.279,0.728,0.801,8,-2.942,0.0683,130.059,0.416
171,Something Just Like This,The Chainsmokers,4268102,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Memories...Do Not Open,2017,False,Coldplay,0.0498,0.617,0.635,11,-6.769,0.0317,103.019,0.446
172,What Lovers Do (feat. SZA),Maroon 5,4259473,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG,Red Pill Blues (Deluxe),2018,False,SZA,0.0788,0.799,0.597,5,-5.131,0.0611,110.001,0.419
173,IDOL,BTS,4247303,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx,Love Yourself 結 'Answer',2018,False,Nicki Minaj,0.00219,0.709,0.857,9,-3.394,0.0881,126.038,0.446
174,Young Dumb & Broke,Khalid,4199557,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,American Teen,2017,False,None,0.199,0.798,0.539,1,-6.351,0.0421,136.949,0.394
175,BUTTERFLY EFFECT,Travis Scott,4194519,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4,ASTROWORLD,2018,False,None,0.053,0.764,0.628,11,-5.851,0.0503,140.963,0.196
176,Balenciaga Challenge (feat. Offset),6LACK,4193702,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv,East Atlanta Love Letter,2018,True,Offset,0.128,0.746,0.404,10,-9.849,0.403,142.913,0.686
177,Thinking Out Loud,Ed Sheeran,4178749,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,x (Wembley Edition),2013,False,None,0.474,0.781,0.445,2,-6.061,0.0295,78.998,0.591
178,Plug Walk,Rich The Kid,4166493,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6,The World Is Yours,2018,True,None,0.202,0.876,0.519,11,-6.531,0.143,94.981,0.158
179,Silence,Marshmello,4159196,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,Silence,2017,False,Khalid,0.256,0.52,0.761,4,-3.093,0.0853,141.971,0.286
180,Whatever It Takes,Imagine Dragons,4149012,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb,Evolve,2017,False,None,0.0362,0.672,0.655,10,-5.021,0.0311,134.945,0.556
181,Chica Paranormal,Paulo Londra,4141897,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV,Chica Paranormal,2018,False,None,0.216,0.84,0.596,6,-4.319,0.0918,139.937,0.71
182,goosebumps,Travis Scott,4137680,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,Birds In The Trap Sing McKnight,2016,True,None,0.0847,0.841,0.728,7,-3.37,0.0484,130.049,0.43
183,Remind Me to Forget,Kygo,4137182,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80,Kids in Love,2017,False,Miguel,0.158,0.689,0.505,0,-6.389,0.0933,99.017,0.312
184,REEL IT IN,Aminé,4080668,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY,ONEPOINTFIVE,2018,True,None,0.073,0.754,0.342,10,-8.677,0.0991,128.981,0.423
185,Feel It Still,Portugal. The Man,4056054,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,Woodstock,2017,False,None,0.0417,0.801,0.795,1,-5.115,0.0504,79.028,0.754
186,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,4052316,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI,No Quiero Amarte (feat. Zion & Lennox),2018,False,"Zion, Lennox",0.128,0.734,0.793,6,-4.731,0.0454,89.961,0.511
187,Ciumeira - Ao Vivo,Marília Mendonça,4034540,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1,Ciumeira (Ao Vivo),2018,False,None,0.204,0.741,0.813,11,-4.83,0.0452,123.842,0.765
188,All The Stars (with SZA),Kendrick Lamar,4031958,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,Black Panther The Album Music From And Inspired By,2018,True,SZA,0.0605,0.698,0.633,8,-4.946,0.0597,96.924,0.552
189,Bohemian Rhapsody - Remastered 2011,Queen,4015563,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,A Night At The Opera (Deluxe Remastered Version),1975,False,None,0.254,0.397,0.396,3,-9.91,0.05,142.913,0.227
190,Photograph,Ed Sheeran,4013314,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,x (Wembley Edition),2013,False,None,0.607,0.614,0.379,4,-10.48,0.0476,107.989,0.201
191,Walk It Talk It,Migos,3983109,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP,Culture II,2018,True,Drake,0.0739,0.909,0.628,2,-5.456,0.201,145.905,0.406
192,I'm Upset,Drake,3971008,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT,Scorpion,2018,True,None,0.279,0.899,0.586,11,-7.866,0.344,150.001,0.492
193,Unforgettable,French Montana,3962547,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,Jungle Rules,2017,True,Swae Lee,0.0293,0.726,0.769,6,-5.043,0.123,97.985,0.733
194,One Dance,Drake,3958516,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,Views,2016,False,"WizKid, Kyla",0.00842,0.796,0.61,1,-5.857,0.0516,103.99,0.391
195,Wake Me Up,Avicii,3957807,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,True,2013,False,None,0.00346,0.518,0.784,2,-5.659,0.0524,124.102,0.588
196,Lust,Lil Skies,3947713,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S,Life of a Dark Rose,2017,True,None,0.138,0.718,0.767,9,-5.641,0.166,160.084,0.519
197,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,3922044,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),2017,False,Beyoncé,0.779,0.587,0.299,8,-7.365,0.0263,94.992,0.356
198,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,3920653,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ,Curtain Call (Deluxe),2005,True,None,0.00971,0.701,0.728,2,-4.554,0.255,171.388,0.0591
199,Halo,Beyoncé,3900013,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr,I AM...SASHA FIERCE - Platinum Edition,2008,False,None,0.273,0.422,0.712,11,-5.907,0.1,78.454,0.471
200,sweetener,Ariana Grande,3893594,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH,Sweetener,2018,True,None,0.248,0.721,0.459,4,-6.408,0.032,119.914,0.46
